Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
0,18.98403818,18.89876463,18.78578355,18.91200292,19.25128717
3,18.96142556,18.82988778,18.73264608,18.8697077,18.2606307
6,18.92880053,18.77444972,18.65932496,18.81321279,17.43558451
9,18.89815001,18.73359058,18.61241183,18.75809443,16.73424143
12,18.87142824,18.68257771,18.57393361,18.69912459,16.15217926
15,18.83785293,18.63721049,18.51483821,18.63738652,15.68444315
18,18.79161632,18.55087816,18.4737456,18.57094488,15.34603313
21,18.74861573,18.50245924,18.41652699,18.48728628,15.01725681
24,18.69387097,18.44785933,18.33809634,18.40695301,14.84135413
27,18.63656516,18.38158101,18.27692447,18.33873938,14.67137666
30,18.58005842,18.30663233,18.194621,18.25822974,14.46883099
33,18.51745994,18.230909,18.1264331,18.16962406,14.2768148
36,18.45742982,18.1578246,18.04979585,18.08274267,14.12038493
39,18.38607519,18.06511023,17.98277945,17.99932288,14.01734143
42,18.32727215,18.01050109,17.8890666,17.91349394,13.8612266
45,18.25910063,17.92273073,17.820341,17.82495182,13.76505877
48,18.18577467,17.85606444,17.76476362,17.74452572,13.6804765
51,18.12264192,17.76935626,17.69252321,17.66338132,13.57053567
54,18.05670502,17.70025853,17.61114401,17.57250029,13.44014783
57,17.98452377,17.62125732,17.53672016,17.49557858,13.34409565
60,17.91158775,17.53664444,17.44932909,17.40614736,13.26637079
63,17.84270599,17.4707265,17.36296607,17.32316386,13.21490556
66,17.77282257,17.38853328,17.29439455,17.23942579,13.13137558
69,17.7026924,17.29669854,17.23250982,17.16677773,13.08381665
72,17.63342078,17.23961137,17.14463242,17.07133826,12.97088503
75,17.5563378,17.13142929,17.06442856,17.0043613,12.95821784
78,17.48731414,17.0794812,16.96156219,16.91634589,12.8438801
81,17.41680556,16.98684719,16.90852457,16.83579279,12.81213002
84,17.34683255,16.91407386,16.83799923,16.75886513,12.71751207
87,17.27334447,16.83006913,16.76930234,16.67933292,12.64946535
90,17.20090872,16.75567253,16.68410524,16.6017027,12.56352915
93,17.13493598,16.68763194,16.5962572,16.52733196,12.5521102
