Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
0,15.21444202,15.11319005,15.24370331,15.37172446,16.56382091
3,15.23148477,15.13276411,15.26060563,15.38940164,16.67967344
6,15.23969594,15.13109275,15.25291989,15.38741316,16.45940118
9,15.21039107,15.06953921,15.1602394,15.29606564,15.73667697
12,15.17805325,14.98434597,15.03716773,15.19929561,15.23249586
15,15.13835349,14.90093607,14.93237507,15.11130865,14.76336753
18,15.10291108,14.86897776,14.86823927,15.03489572,14.21115373
21,15.06397192,14.83848129,14.83781314,14.96581904,13.87996294
24,15.02817129,14.79417295,14.81333812,14.90582478,13.57795286
27,14.99082421,14.74483718,14.76301745,14.8388341,13.28658556
30,14.95634505,14.67952144,14.70916495,14.77228576,13.06098766
33,14.91042102,14.61190549,14.64819434,14.69960421,12.80938316
36,14.87469686,14.55775894,14.58799915,14.63212924,12.60611644
39,14.83145145,14.509419,14.52503113,14.55129765,12.47125048
42,14.79336751,14.41511526,14.46810388,14.47077619,12.24765595
45,14.74821078,14.37196768,14.39784623,14.40593332,12.0886547
48,14.70174466,14.31664619,14.35198256,14.32874138,12.00954069
51,14.6542376,14.24259885,14.26932026,14.24878694,11.89374411
54,14.60629897,14.18865395,14.23025244,14.18236048,11.72982934
57,14.56140777,14.1138136,14.14795243,14.11413003,11.67362522
60,14.51261408,14.07300708,14.0955751,14.04133003,11.59082607
63,14.46921446,14.00331577,14.01533951,13.97142844,11.53661341
66,14.42136469,13.93557366,13.98791858,13.90442186,11.41801157
69,14.37585835,13.8806874,13.91777531,13.83280383,11.37381296
72,14.32720261,13.82237136,13.85478965,13.75712899,11.29808907
75,14.2730902,13.74207535,13.78296011,13.69162924,11.22824644
78,14.22657126,13.70445427,13.73524928,13.63020992,11.25497267
81,14.17942047,13.62591183,13.67199795,13.56140639,11.15337187
84,14.13206346,13.57457208,13.61759916,13.49178867,11.05573823
87,14.07819571,13.51329159,13.55522814,13.42080807,10.9934518
90,14.03176265,13.45143461,13.49741286,13.3716069,10.98046415
93,13.98623646,13.40609208,13.45474121,13.30542156,10.98004531
96,13.93551963,13.332009,13.39798635,13.2458924,10.93618741
99,13.88210299,13.27023638,13.31118572,13.18095799,10.84116097
102,13.83822681,13.20932063,13.28882819,13.11793494,10.80164301
105,13.79096562,13.15785082,13.24034479,13.05314577,10.78199792
108,13.74219885,13.09482276,13.16726281,12.99690289,10.7113557
111,13.68645909,13.02840925,13.12151474,12.93284611,10.70009693
114,13.64533822,12.97945924,13.04497275,12.87918808,10.66565279
117,13.59678223,12.91882262,13.00911329,12.82206773,10.6209677
120,13.55360621,12.86908305,12.95090218,12.764633,10.61800857
123,13.49921192,12.80918087,12.90161265,12.70954717,10.55160984
126,13.4510355,12.76526735,12.86838199,12.65112094,10.50569063
129,13.40877581,12.68822461,12.76930133,12.60230017,10.5357062
132,13.3589244,12.64221463,12.73727746,12.54371059,10.44224867
135,13.31131155,12.59830145,12.67972747,12.47625396,10.45350095
138,13.26143098,12.52432426,12.61169094,12.43091901,10.40257935
141,13.21645165,12.48378244,12.56724225,12.3731596,10.35229454
144,13.16590451,12.43321096,12.5286863,12.3173506,10.31414968
147,13.11956691,12.36818812,12.4808809,12.26719367,10.26412589
150,13.0789523,12.32287429,12.42657451,12.21398013,10.31004841
153,13.02836566,12.26977258,12.37835393,12.15901618,10.26199917
156,12.98507407,12.2238558,12.32171803,12.10920073,10.16037977
159,12.93379763,12.16176648,12.28243217,12.06025462,10.15964141
162,12.88649456,12.12139362,12.22062345,12.00242008,10.14081649
165,12.84335587,12.08143127,12.17971108,11.95019688,10.1758893
168,12.79850233,12.03373905,12.1159947,11.90317419,10.15491438
171,12.75021015,11.96363761,12.07396597,11.85039668,10.08941518
174,12.70799459,11.90892426,12.02339686,11.79955,10.06704013
177,12.66225364,11.87029155,11.97994918,11.75034333,10.02902585
180,12.61899392,11.80859648,11.91329802,11.70446032,10.01880835
183,12.57558284,11.77640209,11.88616226,11.65751097,9.936413345
186,12.52569192,11.70751744,11.81962916,11.61617251,9.998407025
189,12.48086922,11.65371085,11.79730091,11.55579767,9.903612167
192,12.44211743,11.61489795,11.74390595,11.51582653,9.912679381
195,12.39519516,11.56050439,11.68648884,11.46726629,9.881524157
198,12.35353011,11.52215206,11.65006736,11.41925421,9.877251586
201,12.30877328,11.48499396,11.59889021,11.36744807,9.814126375
204,12.25916959,11.43020359,11.55748304,11.32288226,9.800165583
207,12.22106379,11.39049124,11.51422093,11.27484567,9.800712137
210,12.18139137,11.33755022,11.46148868,11.23096961,9.7644406
213,12.13219881,11.29290115,11.41764603,11.18470602,9.77595684
216,12.09273448,11.24659662,11.37527431,11.13914065,9.72236975
219,12.04744155,11.21192359,11.33979199,11.10239622,9.70435539
222,12.00732024,11.16693014,11.27473822,11.05431319,9.669074076
225,11.96452579,11.10584486,11.24442331,11.00432965,9.631013298
228,11.92518737,11.06177445,11.20010519,10.97192223,9.651314838
231,11.88435345,11.03004842,11.15942038,10.92667386,9.626100697
234,11.8455562,10.98065252,11.11725882,10.87833314,9.560015002
237,11.80036328,10.94495502,11.08289637,10.84003754,9.557022254
240,11.75948904,10.9190544,11.03222729,10.79805103,9.595030782
243,11.71778011,10.85909185,10.99045938,10.74954086,9.546084112
246,11.67976061,10.81553191,10.95082513,10.7143699,9.483223041
249,11.64059347,10.77307318,10.91329058,10.669673,9.479129277
252,11.60149944,10.73957107,10.86605163,10.62707373,9.470005493
255,11.55986817,10.69342229,10.82618841,10.58349027,9.402912812
258,11.52049592,10.64369977,10.79553593,10.54827444,9.386317899
261,11.48108191,10.61585127,10.75089721,10.50363905,9.36964467
264,11.44083826,10.57670564,10.72457003,10.46751492,9.332056722
267,11.40675294,10.52468308,10.67658413,10.42736463,9.326818561
270,11.36550327,10.48154783,10.62287522,10.39336169,9.328847898
273,11.32717415,10.45864579,10.59684651,10.34970477,9.337129
276,11.29387212,10.4150627,10.56467595,10.30675528,9.289102267
279,11.24874134,10.38364029,10.51193379,10.26767812,9.227884182
282,11.21448578,10.33369491,10.48397189,10.23413438,9.215800707
285,11.17651341,10.3072861,10.44983554,10.19529472,9.206567563
288,11.13679667,10.26705347,10.4152905,10.15745147,9.230173472
291,11.1035174,10.22057821,10.3736597,10.11972171,9.160962942
294,11.06533167,10.18710877,10.34226066,10.0809859,9.093379907
297,11.03051516,10.15419698,10.29888214,10.03989307,9.12897138
300,10.99424022,10.11705421,10.253699,10.00861592,9.142537342
303,10.95794744,10.07571346,10.22211097,9.969729425,9.110748274
306,10.92113156,10.04824781,10.20402727,9.934405634,9.104114792
309,10.8838183,10.00774874,10.16457815,9.896013108,9.103786527
312,10.85195769,9.971541777,10.12591139,9.863002677,9.102659714
315,10.81455868,9.942370167,10.09491226,9.823508702,9.078305877
318,10.7796306,9.912331954,10.03716624,9.791575424,9.021068648
321,10.74141885,9.874409911,10.02213827,9.749581504,8.975713339
324,10.71215013,9.833105538,9.991120717,9.720533016,9.035277022
327,10.67304072,9.804821962,9.947771387,9.68262976,9.01223147
330,10.64044822,9.773289752,9.91402587,9.648394876,8.951322702
333,10.60658961,9.73431454,9.879999935,9.613248407,8.981689307
336,10.572298,9.703085698,9.850174444,9.573980139,8.967316875
339,10.53959151,9.670176873,9.809609461,9.545391173,8.914721679
342,10.50637803,9.640342521,9.778334262,9.506358994,8.928702048
345,10.47270613,9.605767028,9.751306496,9.476735475,8.906512631
348,10.43964318,9.559790544,9.7301494,9.442100966,8.849533961
351,10.40478368,9.536702694,9.687504431,9.409078052,8.81409677
354,10.37414349,9.508282732,9.650305173,9.375040103,8.863436767
357,10.34087087,9.454479325,9.648394286,9.342830514,8.804167521
360,10.30720686,9.439464982,9.59345923,9.308298042,8.799442448
363,10.27737593,9.405108362,9.569458595,9.276891949,8.750385043
366,10.24297087,9.387816804,9.529274114,9.239519454,8.780906207
369,10.21218783,9.348685314,9.523846937,9.208920656,8.707381361
372,10.17811197,9.316619835,9.488584673,9.17601402,8.696980116
375,10.14612527,9.279129111,9.457587389,9.142281212,8.671746537
378,10.11768104,9.250867962,9.40734624,9.117391441,8.702496433
381,10.08700062,9.220581447,9.400230326,9.080330666,8.622827149
384,10.05512282,9.194433686,9.366919082,9.050603126,8.665903179
387,10.02276524,9.163699549,9.340993189,9.020186292,8.619624216
390,9.992428309,9.136881535,9.333764123,8.986383636,8.569433847
393,9.965328888,9.116002748,9.289045701,8.954974398,8.566280837
396,9.930801087,9.087871718,9.262006951,8.926844483,8.556238828
399,9.902804325,9.051352548,9.23028678,8.898011624,8.550079301
402,9.87346832,9.030343833,9.205739726,8.86174234,8.511181225
405,9.842618719,9.000727967,9.170605585,8.83170138,8.481950296
408,9.814027569,8.97624881,9.141526035,8.807820408,8.471339815
411,9.785148212,8.952119592,9.144041658,8.779128773,8.453741905
414,9.758167176,8.919599121,9.107727784,8.752612563,8.436529667
417,9.729432975,8.893961573,9.087986516,8.721324911,8.404016625
420,9.70013348,8.866564647,9.060272129,8.690489348,8.356020724
