Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
0,18.3541175,18.25474268,18.28941617,18.19039527,18.43173657
3,18.31830868,18.1604313,18.18102358,18.13607273,17.96894505
6,18.25383307,18.06184992,18.04850937,18.05428205,17.26696305
9,18.18944496,17.9827173,17.98148535,17.99640957,16.72960091
12,18.13109548,17.90754668,17.91796526,17.93200926,16.17326541
15,18.07638386,17.83400836,17.82538509,17.86846643,15.72361546
18,18.02103149,17.78066591,17.76387721,17.77352102,15.35811692
21,17.95592155,17.70380545,17.65527096,17.70320712,15.1041319
24,17.908342,17.63416179,17.58358177,17.6155085,14.76944702
27,17.85616165,17.56319171,17.46493071,17.52894784,14.59575656
30,17.81376587,17.47846176,17.42845233,17.43989003,14.345702
33,17.76123354,17.38109936,17.34932081,17.3405932,14.10962334
36,17.70269179,17.29402385,17.25869182,17.23754204,13.92081853
39,17.64114798,17.23597175,17.16689817,17.1562004,13.78981525
42,17.57289274,17.14442848,17.11030152,17.04541263,13.64461365
45,17.5147511,17.05888225,16.99863749,16.96038798,13.55078398
48,17.44478342,16.99596848,16.91890689,16.88041195,13.38135684
51,17.38299046,16.88544202,16.84649002,16.78628598,13.22539509
54,17.31231361,16.81132724,16.77754844,16.69201219,13.15961985
57,17.25046953,16.74632579,16.70818467,16.60073037,13.0693486
60,17.19023219,16.65203654,16.57723458,16.52966618,13.01340065
63,17.12400307,16.56798158,16.48473756,16.43023952,12.93790705
66,17.04848566,16.49923165,16.4568362,16.33215094,12.80087338
69,16.97985467,16.41189524,16.3689732,16.24872402,12.73373757
72,16.92243626,16.33643792,16.33594538,16.17013923,12.66475569
75,16.85316813,16.25979402,16.21856254,16.08593568,12.62130025
78,16.77893929,16.17017018,16.13530729,16.00729217,12.52478396
81,16.71365954,16.0693709,16.06426999,15.91564361,12.44408468
84,16.63805259,15.98885383,15.96567173,15.83488406,12.39886643
87,16.58347695,15.92208258,15.92180116,15.75351815,12.37735807
90,16.50846668,15.8555643,15.83062431,15.68911361,12.28040746
93,16.44365147,15.76047566,15.75030999,15.592869,12.24090423
96,16.38113347,15.69381929,15.68783959,15.51503084,12.19824424
99,16.31397901,15.64451215,15.63927119,15.43987483,12.12794249
102,16.24520726,15.54979557,15.57072372,15.37351188,12.09284724
105,16.18641982,15.45166271,15.4114963,15.28294588,12.05096307
108,16.11885612,15.3918868,15.31746634,15.21272759,12.05698841
111,16.04824556,15.32508986,15.31650993,15.13643856,11.96049704
114,15.98145135,15.25103022,15.27533109,15.05939215,11.916691
117,15.92019762,15.15170121,15.18626909,15.0003335,11.88308881
120,15.84895116,15.08240704,15.08624039,14.92443459,11.83406765
123,15.79243685,15.01507216,15.0578011,14.84855754,11.79673158
126,15.72337658,14.94838345,15.01101639,14.78401709,11.74398189
129,15.65769605,14.89179155,14.91714658,14.70305908,11.65944554
132,15.59893489,14.80635171,14.79344599,14.64283605,11.65565903
135,15.52997046,14.73557593,14.7415891,14.56443354,11.63420857
138,15.46465077,14.66752989,14.70325667,14.50293136,11.56412126
141,15.3986586,14.61027213,14.61062377,14.43115428,11.51112524
144,15.33918849,14.51836111,14.54937456,14.34951512,11.43415992
147,15.26551714,14.47498347,14.50613711,14.28708318,11.45659104
150,15.21405937,14.3935089,14.42223569,14.22027431,11.38512687
153,15.1512171,14.32083752,14.35610357,14.15611516,11.37771369
156,15.08641261,14.26990182,14.29957687,14.09442354,11.27803819
159,15.02706487,14.19035158,14.23785005,14.03069816,11.29793192
162,14.97079421,14.13142221,14.19252816,13.96009942,11.23698002
165,14.90649992,14.04453882,14.10543389,13.89547607,11.20831334
168,14.84742114,14.00435196,14.05954907,13.83799263,11.19281564
171,14.78660911,13.93877282,13.98577725,13.77122161,11.12869857
174,14.72749351,13.87218662,13.90526833,13.7080485,11.12802802
177,14.66604307,13.80090786,13.87529668,13.64113213,11.05389018
180,14.60915854,13.74544419,13.77258352,13.58978398,11.03444094
183,14.55108416,13.67785798,13.73385832,13.52434516,11.0243044
186,14.48652182,13.61893698,13.68664254,13.46444263,10.94727034
189,14.43355136,13.55968769,13.62974734,13.40530148,10.98385373
192,14.37166268,13.48294645,13.58429024,13.34575228,10.89863749
195,14.31567677,13.44121098,13.50645235,13.28806044,10.89465616
198,14.25806533,13.38663706,13.44576106,13.22055409,10.84236681
201,14.20581405,13.31144714,13.37721322,13.16691391,10.81374653
204,14.14927548,13.25752325,13.3397439,13.10750905,10.75392461
207,14.09483155,13.19515075,13.2619322,13.03874266,10.70107639
210,14.03662171,13.13727286,13.24679784,12.98828511,10.69427777
213,13.97726647,13.09199262,13.16242919,12.93481615,10.64358509
216,13.92412689,13.03957695,13.13067938,12.87298396,10.61544152
219,13.8736514,12.95586028,13.06449901,12.81559462,10.57603581
222,13.81308846,12.92079376,13.01554822,12.76239528,10.57878717
225,13.75998848,12.85825289,12.95571194,12.71359835,10.5875834
228,13.70819351,12.79554256,12.88737643,12.65739229,10.47767994
231,13.65620886,12.76300594,12.86619091,12.60197903,10.49506977
234,13.60865018,12.69957587,12.78226956,12.55598255,10.45848125
237,13.5523445,12.63787262,12.73571186,12.49375469,10.3937969
240,13.50493164,12.57286703,12.69678067,12.44147294,10.39524657
243,13.45055896,12.5258181,12.63043665,12.39140367,10.36494297
246,13.40043298,12.47493242,12.60137287,12.34396367,10.37066574
249,13.34317355,12.42116906,12.52272691,12.28693465,10.34742235
252,13.29271578,12.35888224,12.46479578,12.23687846,10.29300374
255,13.24738375,12.3220671,12.43947044,12.18927729,10.25389462
258,13.19244694,12.26236586,12.40007829,12.13614905,10.18976872
261,13.13956221,12.2089337,12.31326123,12.08401899,10.16284628
264,13.09691906,12.15561884,12.26989272,12.03362223,10.15700838
267,13.0424742,12.10677761,12.2399104,11.98155047,10.14464202
270,12.9840218,12.07307756,12.17567741,11.92827938,10.11679387
273,12.94770079,12.02161698,12.14069658,11.87945782,10.05602337
276,12.89727281,11.96070416,12.0837521,11.83203918,10.08268969
279,12.84904577,11.90247611,12.04635781,11.78688329,10.06596765
282,12.80235873,11.86964411,12.01120559,11.73585307,10.00256554
285,12.754353,11.82488403,11.94409726,11.68905705,10.02430354
288,12.70891336,11.78289979,11.90207644,11.64068034,9.985326037
291,12.65514977,11.72395181,11.85465047,11.59849289,9.970233963
294,12.61517087,11.65541994,11.79841303,11.54995325,9.942047401
297,12.56719088,11.62674249,11.76302361,11.50602991,9.897374644
300,12.52298732,11.56649588,11.70263406,11.45678129,9.881367116
303,12.47473246,11.5537727,11.67062238,11.41005245,9.881502313
306,12.43023199,11.49154277,11.59714808,11.36581143,9.841213351
309,12.38359763,11.45872782,11.5758553,11.3158898,9.844687045
312,12.34098117,11.39191855,11.52552023,11.27676468,9.799680086
315,12.29757011,11.34837886,11.48176809,11.22602515,9.810445369
318,12.25132445,11.31595098,11.44378843,11.17961745,9.7781009
321,12.20805534,11.26594921,11.39849218,11.13882105,9.743009786
324,12.16555595,11.24306358,11.35596812,11.09412248,9.72660092
327,12.11732419,11.17805499,11.32117518,11.05693694,9.694524992
330,12.08052238,11.14077058,11.27682497,11.01333105,9.706303486
333,12.03477111,11.10297075,11.22110645,10.966119,9.68979594
336,11.99057886,11.05520827,11.17183349,10.92580852,9.615125317
339,11.95258098,11.01332138,11.14795854,10.8823707,9.623141619
